Payroll Relationship Number|Person Number|Person Name|Payroll Name|Tax Reporting Unit Name|State|Balance Dimension|Run Type|Process Type|Process Date|FICA Taxable Wages for FLI|Family Leave Insurance Employee Gross|Family Leave Insurance Employee Reduced Subject Withholdable|Family Leave Insurance Employee Taxable|Family Leave Insurance Employee Withheld|Family Leave Insurance Employer Gross|Family Leave Insurance Employer Liability|Family Leave Insurance Employer Reduced Subject Withholdable|Family Leave Insurance Employer Taxable|Hours Worked Over Statutory Limit|Long Term Care Employee Gross|Long Term Care Employee Reduced Subject Withholdable|Long Term Care Employee Taxable|Long Term Care Employee Withheld|Medical Leave Insurance Employee Gross|Medical Leave Insurance Employee Reduced Subject Withholdable|Medical Leave Insurance Employee Taxable|Medical Leave Insurance Employee Withheld|Medical Leave Insurance Employer Gross|Medical Leave Insurance Employer Liability|Medical Leave Insurance Employer Reduced Subject Withholdable|Medical Leave Insurance Employer Taxable|Metro Employee Gross|Metro Employee Reduced Subject Withholdable|Metro Employee Withheld|Parental Leave Insurance Employee Gross|Parental Leave Insurance Employee Reduced Subject Withholdable|Parental Leave Insurance Employee Taxable|Parental Leave Insurance Employee Withheld|Parental Leave Insurance Employer Gross|Parental Leave Insurance Employer Liability|Parental Leave Insurance Employer Reduced Subject Withholdable|Parental Leave Insurance Employer Taxable|SDI Employee 401k Reductions|SDI Employee 403b Reductions|SDI Employee 457 Reductions|SDI Employee Dependent Care Reductions|SDI Employee Excess|SDI Employee Gross|SDI Employee Other Pretax Reductions|SDI Employee Pretax Reductions|SDI Employee Reduced Subject Withholdable|SDI Employee Section 125 Reductions|SDI Employee Subject Withholdable|SDI Employee Taxable|SDI Employee Withheld|SDI Employer 401k Reductions|SDI Employer 403b Reductions|SDI Employer 457 Reductions|SDI Employer Dependent Care Reductions|SDI Employer Excess|SDI Employer Gross|SDI Employer Liability|SDI Employer Other Pretax Reductions|SDI Employer Pretax Reductions|SDI Employer Reduced Subject Withholdable|SDI Employer Section 125 Reductions|SDI Employer Subject Withholdable|SDI Employer Taxable|SIT 401k Reductions|SIT 403b Reductions|SIT 457 Reductions|SIT Dependent Care Reductions|SIT Exempt|SIT Gross|SIT Other Pretax Reductions|SIT Pretax Reductions|SIT Reduced Subject Withholdable|SIT Section 125 Reductions|SIT Subject Not Withholdable|SIT Subject Withholdable|SIT Withheld|SUI Eligible Hours|SUI Employee 401k Reductions|SUI Employee 403b Reductions|SUI Employee 457 Reductions|SUI Employee Dependent Care Reductions|SUI Employee Excess|SUI Employee Gross|SUI Employee Other Pretax Reductions|SUI Employee Pretax Reductions|SUI Employee Reduced Subject Withholdable|SUI Employee Section 125 Reductions|SUI Employee Subject Withholdable|SUI Employee Taxable|SUI Employee Withheld|SUI Employer 401k Reductions|SUI Employer 403b Reductions|SUI Employer 457 Reductions|SUI Employer Dependent Care Reductions|SUI Employer Excess|SUI Employer Gross|SUI Employer Liability|SUI Employer Other Pretax Reductions|SUI Employer Pretax Reductions|SUI Employer Reduced Subject Withholdable|SUI Employer Section 125 Reductions|SUI Employer Subject Withholdable|SUI Employer Taxable|State Miscellaneous Employee Gross|State Miscellaneous Employee Reduced Subject Withholdable|State Miscellaneous Employee Subject Not Withholdable|State Miscellaneous Employee Subject Withholdable|State Miscellaneous Employee Taxable|State Miscellaneous Employee Withheld|State Miscellaneous Employer Gross|State Miscellaneous Employer Liability|State Miscellaneous Employer Reduced Subject Withholdable|State Miscellaneous Employer Subject Not Withholdable|State Miscellaneous Employer Subject Withholdable|State Miscellaneous Employer Taxable|State Transit Tax Gross|State Transit Tax Reduced Subject Withholdable|State Transit Tax Subject Not Withholdable|State Transit Tax Subject Withholdable|State Transit Tax Withheld|State Worked Hours|VPDI Employee 401k Reductions|VPDI Employee 403b Reductions|VPDI Employee 457 Reductions|VPDI Employee Dependent Care Reductions|VPDI Employee Excess|VPDI Employee Gross|VPDI Employee Other Pretax Reductions|VPDI Employee Pretax Reductions|VPDI Employee Reduced Subject Withholdable|VPDI Employee Section 125 Reductions|VPDI Employee Subject Withholdable|VPDI Employee Taxable|VPDI Employee Withheld|VPDI Employer 401k Reductions|VPDI Employer 403b Reductions|VPDI Employer 457 Reductions|VPDI Employer Dependent Care Reductions|VPDI Employer Excess|VPDI Employer Gross|VPDI Employer Liability|VPDI Employer Other Pretax Reductions|VPDI Employer Pretax Reductions|VPDI Employer Reduced Subject Withholdable|VPDI Employer Section 125 Reductions|VPDI Employer Subject Withholdable|VPDI Employer Taxable|Wages Earned for Hours Worked in Excess of Statutory Limit|
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|05/03/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|184.69|0|0|0|0|2652.56|0|283.77|2367.87|99.08|.92|2651.64|106|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2652.56|38.82|0|99.08|2552.56|99.08|2651.64|2552.56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|05/17/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|184.69|0|0|0|0|2652.56|0|283.77|2367.87|99.08|.92|2651.64|106|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2652.56|38.83|0|99.08|2552.56|99.08|2651.64|2552.56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|05/31/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|184.69|0|0|0|0|2652.56|0|283.77|2367.87|99.08|.92|2651.64|106|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2652.56|38.82|0|99.08|2552.56|99.08|2651.64|2552.56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|06/14/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|184.69|0|0|0|0|2652.56|0|283.77|2367.87|99.08|.92|2651.64|106|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2652.56|38.83|0|99.08|2552.56|99.08|2651.64|2552.56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Process Separately|Payroll calculation|06/14/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|154.95|0|0|154.95|0|0|154.95|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|154.95|2.35|0|0|154.95|0|154.95|154.95|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|06/28/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|215.86|0|0|0|0|3097.8|0|314.94|2781.94|99.08|.92|3096.88|130|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3097.8|45.6|0|99.08|2997.8|99.08|3096.88|2997.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|07/12/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|208.93|0|0|0|0|2998.85|0|308.01|2689.92|99.08|.92|2997.93|121|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2998.85|44.09|0|99.08|2898.85|99.08|2997.93|2898.85|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|07/26/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|241.83|0|0|0|0|3468.84|0|340.91|3127.01|99.08|.92|3467.92|146|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3468.84|51.24|0|99.08|3368.84|99.08|3467.92|3368.84|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|08/09/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|238.37|0|0|0|0|3419.37|0|337.45|3081|99.08|.92|3418.45|143|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3419.37|50.49|0|99.08|3319.37|99.08|3418.45|3319.37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|08/23/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|209.51|0|0|0|0|3007.1|0|308.59|2697.59|99.08|.92|3006.18|122|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3007.1|44.22|0|99.08|2907.1|99.08|3006.18|2907.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|09/06/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|214.99|0|0|0|0|3085.43|0|314.07|2770.44|99.08|.92|3084.51|126|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3085.43|45.4|0|99.08|2985.43|99.08|3084.51|2985.43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|09/20/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|187.29|0|0|0|0|2689.67|0|286.37|2402.38|99.08|.92|2688.75|105|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2277.93|2689.67|4.75|0|99.08|2589.67|99.08|2688.75|311.74|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|10/04/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|285.12|0|0|0|0|4087.22|0|384.2|3702.1|99.08|.92|4086.3|179|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3987.22|4087.22|0|0|99.08|3987.22|99.08|4086.3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|10/18/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|230.58|0|0|0|0|3308.06|0|329.66|2977.48|99.08|.92|3307.14|138|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3208.06|3308.06|0|0|99.08|3208.06|99.08|3307.14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
